marketName,DOWN,UP,UP_complete,DOWN_complete,hedge_status
"Bitcoin Up or Down - April 10, 5:30AM-5:35AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 10, 5:35AM-5:40AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 10, 5:40AM-5:45AM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - April 10, 5:45AM-5:50AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 10, 5:50AM-5:55AM ET",4.99846,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 10, 5:55AM-6:00AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 10, 6:00AM-6:05AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 10, 6:05AM-6:10AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 10, 6:10AM-6:15AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 15, 7:30AM-7:35AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 15, 7:35AM-7:40AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 15, 7:40AM-7:45AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 15, 7:45AM-7:50AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 15, 7:50AM-7:55AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 15, 8:00AM-8:05AM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - April 16, 8:20AM-8:25AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 16, 8:25AM-8:30AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 16, 8:35AM-8:40AM ET",10.0,10.0,False,False,FAIL
"Bitcoin Up or Down - April 16, 8:40AM-8:45AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - April 16, 8:45AM-8:50AM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - April 16, 9:05AM-9:10AM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - April 16, 9:10AM-9:15AM ET",10.0,10.0,False,False,FAIL
"Bitcoin Up or Down - April 16, 9:15AM-9:20AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 10:00AM-10:05AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 10:05AM-10:10AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 10:10AM-10:15AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 10:15AM-10:20AM ET",5.0,27.415568999999998,False,True,FAIL
"Bitcoin Up or Down - March 25, 10:20AM-10:25AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 10:25AM-10:30AM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 25, 10:30AM-10:35AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 10:35AM-10:40AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 10:40AM-10:45AM ET",4.9953829999999995,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 10:45AM-10:50AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 10:50AM-10:55AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 10:55AM-11:00AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 11:30AM-11:35AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 11:35AM-11:40AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 11:40AM-11:45AM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 12:10PM-12:15PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 12:15PM-12:20PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 12:20PM-12:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 12:30PM-12:35PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 12:35PM-12:40PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 12:40PM-12:45PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 12:45PM-12:50PM ET",0.0,5.0,True,False,FAIL
"Bitcoin Up or Down - March 25, 12:50PM-12:55PM ET",4.993845,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 12:55PM-1:00PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 1:50PM-1:55PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 2:30PM-2:35PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 3:20PM-3:25PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 4:00PM-4:05PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 25, 4:05PM-4:10PM ET",5.0,0.0,False,True,FAIL
"Bitcoin Up or Down - March 25, 5:05PM-5:10PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 5:10PM-5:15PM ET",5.0,5.0,True,True,SUCCESS
"Bitcoin Up or Down - March 25, 5:15PM-5:20PM ET",5.0,5.0,True,True,SUCCESS
